Species	Length
GSOI	2550
GSOI	2310
GSOI	2580
GSOI	2830
GSOI	2000
GSOI	1450
GSOI	1380
GSOI	1270
GSOI	1660
GSOI	2470
GSOI	1191
GSOI	1510
GLCJ	2170
GLCJ	1390
GLCJ	1790
GLCJ	1280
GLCJ	2970
GLCJ	4550
GLCJ	1670
GLCJ	3860
GLCJ	2710
GLCJ	2820
GLCJ	3360
GLCJ	2220
GLCJ	2190
GLCJ	3700
GLCJ	1290
GLCJ	2240
GLCJ	2680
GLCJ	1330
GLCJ	1840
GLCJ	1540
GLCJ	3230
GLCJ	1360
GLCJ	2120
GLCJ	1450
GLCJ	1060
GLCJ	4470
GLCJ	1270
GLCJ	1710
GLCJ	1520
GLCJ	1480
GLCJ	1770
GLCJ	3030
GLCJ	2030
GLCJ	1090
GLCJ	2350
GLCJ	1180
GLCJ	2640
GLCJ	1640
GLCJ	2620
GLCJ	5250
GLCJ	1280
GVGJ	1460
GVGJ	2460
GVGJ	2200
GVGJ	1570
GVGJ	2070
GVGJ	3480
GVGJ	2710
GVGJ	2670
GVGJ	1760
GVGJ	2230
GVGJ	2110
GVGJ	1720
GVGJ	2090
GVGJ	1170
GVGJ	2820
GVGJ	2970
GVGJ	3850
GVGJ	3150
GVGJ	3360
GVGJ	2320
GVGJ	1780
GVGJ	2461
GVGJ	3740
GVGJ	2820
GVGJ	3380
GVGJ	1600
GVGJ	1320
GVGJ	1420
GVGJ	1900
GVGJ	3020
GVGJ	1490
GVGJ	2190
GVGJ	1160
GVGJ	1270
GVGJ	2090
GVGJ	3560
GVGJ	1820
GVGJ	1650
GVGJ	1370
GVGJ	2400
GVGJ	1650
GVGJ	1860
GVGJ	2070
GVGJ	2520
GVGJ	2090
GVGJ	1890
GVGJ	2610
GVGJ	1410
GVGJ	1440
GVGJ	1930
GVGJ	2010
GVGJ	2350
GVGJ	2370
GVGJ	2100
GVGJ	1800
GVGJ	2510
GVGJ	1420
GVGJ	2970
GVGJ	2960
GVGJ	1730
GVGJ	1610
GVGJ	1130
GVGJ	1950
GVGJ	2700
GVGJ	2310
GVGJ	1540
GVGJ	2890
GVGJ	1840
GVGJ	10860
GVGJ	3790
GVGJ	2240
GVGJ	2580
GVGJ	1190
GVGJ	1460
GVGJ	1590
GVGJ	5090
GVGJ	1850
